Novasindo (Product Type),,
Construction,Decoratives,"Styrene Acrylic Emulsion, Pure-Acrylic Emulsion, Self-Crosslink Acrylic Emulsion"
,Water Proofing,"Styrene Acrylic Emulsion for 1K Water Proofing, Styrene Acrylic Emulsion for 2K Cementitious Water Proofing, "
Printing and Packaging,Ink,"Film-forming Acrylic Emulsion, non-film forming Acrylic Emulsion, solid acrylic resin"
,OVP,"Film-forming Acrylic Emulsion, non-film forming Acrylic Emulsion, solid acrylic resin"
,Fuctional Coating,
Industrial Coating,Metal Coating,Acrylic Emulsion
,Wood Coating,"Acrylic Emulsion, Self-crosslink Acrylic Emulsion, "
,Plastic Coating,
Additives,Defoamer,
,Leveling,
,Dispersing,
